text,label
the movie was outstanding the performance of the cast was great and the direction was spot on,1
the movie could've been far better had the direction been better,0
movie was a waste of time what an awful experience,0
why did i pay 300 bucks for this very bad movie,0
the movie is great if you have the stomach for it for most viewers the movie would be a bad experience but if you know how to appreciate art then you would love the movie,1
movie was ok although the cinematography was good,1
how are people liking this movie it was absolutely a waste of time,0
great movie in my opinion don't care about others,1
amazing movie must watch,1
i feel this movie would have been able to capture the audience more rather than polarize them if it had been released like ten years ago but it is not well suited for this day and age,0
